series,genre,date_published,rate,award,english_lan
1,Fantasy,2011.0,4.14,2,1
0,Fiction,2008.0,3.78,5,1
0,Young Adult,2016.0,3.88,5,1
1,Horror,2006.0,4.01,4,1
1,Fiction,2004.0,4.23,1,1
1,Young Adult,2008.0,4.32,1,1
0,Nonfiction,2003.0,4.18,4,1
1,Young Adult,2008.0,4.24,0,1
1,Fantasy,2007.0,4.34,1,1
1,Fantasy,2008.0,4.39,0,1
1,Fiction,2004.0,4.13,5,0
0,Young Adult,2009.0,3.76,5,1
1,Fantasy,2003.0,3.78,2,1
0,Nonfiction,2008.0,4.23,1,1
1,Fiction,2009.0,3.73,3,1
1,Fantasy,2012.0,4.18,3,1
0,Horror,2009.0,3.9,3,1
1,Fantasy,2012.0,4.23,1,1
0,Fiction,2013.0,4.3,5,1
0,Fiction,2008.0,3.8,1,1
1,Fantasy,2013.0,4.54,1,1
0,Fiction,2009.0,3.76,3,1
0,Fiction,2003.0,3.47,2,1
1,Historical,2004.0,4.15,1,1
1,Young Adult,2012.0,4.13,5,1
1,Young Adult,2008.0,4.0,1,1
0,Fiction,2011.0,3.73,5,1
1,Science Fiction,2020.0,4.25,0,1
1,Fantasy,2014.0,3.51,0,1
1,Young Adult,2009.0,3.72,0,1
1,Young Adult,2009.0,3.76,5,1
1,Young Adult,2001.0,3.81,5,1
0,Nonfiction,2007.0,4.12,4,1
1,Romance,2005.0,4.02,0,1
0,Fiction,2004.0,3.58,4,1
0,Fiction,2008.0,3.92,2,1
0,Fiction,2002.0,3.73,0,1
0,Fiction,2007.0,4.3,1,1
1,Historical,2012.0,4.2,5,1
1,Fantasy,2007.0,3.99,4,1
1,Nonfiction,2008.0,3.81,0,1
0,Historical,2006.0,3.74,2,1
1,Mystery,2007.0,3.77,4,1
0,Historical,2003.0,3.84,2,1
1,Young Adult,2009.0,3.76,5,1
1,Fiction,2012.0,3.81,2,1
1,Young Adult,2010.0,3.93,2,1
1,Fantasy,2005.0,4.1,0,1
0,Fiction,2007.0,3.46,5,1
0,Fiction,2007.0,3.77,5,1
0,Historical,2008.0,4.24,2,1
